"Donate ID","Donate Date","Gender","Deposit Amount","Preferred Color of Device","Ice Cream Products Consumed Per Week","Favorite Flavor Of Ice Cream","Donated To Kick Starter Before","Household Income","Do you own a Keurig","How many desserts do you eat a week","Purchased"
1,2019-07-01,"female",100,"white",4,"vanilla","yes","<50K","yes",7,0
2,2019-07-01,"female",100,"blue",5,"vanilla","yes","<50K","yes",5,1
3,2019-07-01,"female",100,"silver",6,"vanilla","yes","<50K","yes",6,1
4,2019-07-01,"female",100,"silver",5,"vanilla","yes","<50K","yes",5,1
5,2019-07-01,"male",100,"white",1,"vanilla","yes","<50K","yes",7,0
6,2019-07-01,"male",100,"white",0,"vanilla","yes","<50K","yes",9,0
7,2019-07-01,"female",100,"blue",2,"vanilla","yes","<50K","yes",5,0
8,2019-07-01,"female",100,"black",5,"vanilla","yes","<50K","yes",9,1
9,2019-07-01,"male",100,"blue",2,"vanilla","yes","<50K","yes",7,0
10,2019-07-01,"male",100,"no preference",1,"vanilla","yes","<50K","yes",5,0
11,2019-07-01,"male",100,"blue",10,"vanilla","yes","<100K","yes",10,1
12,2019-07-01,"female",100,"no preference",8,"vanilla","yes","<100K","yes",8,0
13,2019-07-01,"male",100,"silver",9,"vanilla","yes","<50K","yes",9,1
14,2019-07-01,"male",100,"black",4,"vanilla","yes","<50K","yes",6,0
15,2019-07-01,"male",100,"no preference",5,"vanilla","yes","<50K","yes",6,1
16,2019-07-01,"male",100,"white",0,"vanilla","yes",">100K","yes",3,1
17,2019-07-01,"male",100,"black",5,"vanilla","yes","<50K","yes",5,0
18,2019-07-01,"female",100,"no preference",7,"vanilla","yes","<50K","yes",7,1
19,2019-07-01,"male",100,"no preference",8,"vanilla","yes","<50K","yes",8,1
20,2019-07-01,"male",100,"red",0,"vanilla","yes","<50K","yes",5,0
21,2019-07-01,"male",100,"red",7,"vanilla","yes","<50K","yes",10,1
22,2019-07-01,"male",100,"black",4,"vanilla","yes","<50K","yes",4,0
23,2019-07-01,"female",100,"blue",8,"vanilla","yes","<50K","yes",9,1
24,2019-07-01,"female",100,"blue",7,"vanilla","yes","<50K","yes",7,0
25,2019-07-01,"male",100,"white",6,"swirl","yes","<50K","yes",6,0
26,2019-07-01,"male",100,"no preference",6,"vanilla","yes","<50K","yes",6,0
27,2019-07-01,"male",100,"no preference",10,"vanilla","yes","<50K","yes",10,1
28,2019-07-01,"female",100,"no preference",2,"no preference","yes","<50K","yes",2,0
29,2019-07-01,"male",100,"white",5,"vanilla","yes","<50K","yes",5,0
30,2019-07-01,"male",100,"black",7,"no preference","yes","<50K","yes",7,0
31,2019-07-01,"male",100,"red",6,"chocolate","yes","<50K","yes",7,1
32,2019-07-01,"male",100,"silver",1,"no preference","yes","<50K","yes",3,0
33,2019-07-01,"female",100,"black",5,"swirl","yes","<50K","yes",7,0
34,2019-07-01,"male",100,"blue",2,"vanilla","yes","<50K","yes",2,1
